City,Lat,Lng,Max Temp,Humidity,Clouds,Wind Speed,Country,Date
Rabo de Peixe,37.8,-25.5833,69.31,88,40,6.91,PT,1627218885
Arlit,18.7369,7.3853,104.9,15,6,4.97,NE,1627218886
Manaus,-3.1019,-60.025,84.7,74,0,5.75,BR,1627218887
Mocuba,-16.8392,36.9856,70.45,51,100,8.08,MZ,1627218889
Alberton,46.8168,-64.0654,66.56,65,8,11.43,CA,1627218891
Terme,41.2092,36.9739,82.96,58,33,9.46,TR,1627218892
Mayumba,-3.432,10.6554,76.33,74,35,9.98,GA,1627218893
Rafaela,-31.2503,-61.4867,54.0,63,23,8.99,AR,1627218894
Kungurtug,50.5994,97.5228,60.08,92,100,2.24,RU,1627218896
Zenzeli,45.9241,47.0474,93.52,17,16,8.95,RU,1627218896
Tonota,-21.4833,27.4833,61.65,36,0,15.21,BW,1627218897
Carhuaz,-9.2819,-77.6447,57.83,67,0,3.56,PE,1627218899
Beyneu,45.3167,55.2,94.35,16,0,14.41,KZ,1627218900
